n,sparsity,seed,solution_lowest,value_lowest,solution_most,value_most,annealer_tte
121,0.5,222,0000001111101000001011010110010000111101001011101010001010011111111110001100010011000001011010111111101001011101100100100,-16930.71,0000001111101000001011010110010000111101001011101010001010011111111110001100010011000001011010111111101001011101100100100,-16930.71,278.9996
122,0.5,222,00001000010101010001001100001011001101001010100101000001011010111011100000000010100010010011001100111000111011011110111001,-16892.67,10100001000111010101001100011111000000001110100100100001001010010110100101001010100000010111011111111000111010111111111101,-17231.17,380.1936
123,0.5,222,010100011101011011101011100100100011100100000100100000000100001011100111100101000001110000000101011111000011001111000100010,-17301.3,101001100000100110010001010110000100010001111000011111010011011100100000111010101010001101111010101001011100011110110001000,-17748.62,358.3344
124,0.5,222,0011111110001111111010101110110011011111000111100101110110110110010110010011000001011001100110011101011101101111000110000101,-16629.23,0011111110001111111010101110110011011111000111100101110110110110010110010011000001011001100110011101011101101111000110000101,-16629.23,145.5466
125,0.5,222,10101001000100010000011000110001001000100000100111110000001000000010101001101001110101011000101010000100000000001111100001100,-18541.35,00100011000000000010110111110011001010100010111101100010011000010010111101111101110001001110101010111000001010001101101001101,-18747.81,271.7669
126,0.5,222,010001111100111101001100001000111101101111101000100010010100111110000111000111100111101100000110110011000110110000110010101101,-17993.86,011010010110101110001100101000111111101110101000100110100100111110011010110111000110101010010110110011000110111000110110001100,-18948.78,136.7183
127,0.5,222,1011111000101101110101011000111101000011110111011011100110011110111011000110100110011100011100001100110101011111011100000011101,-18772.35,1010011010111101010101111000111111100111010001011111100110111110110111000100000110001011011110001010000111011110000100001011101,-19051.75,266.0641
128,0.5,222,01100110001101001100110101100101110000011010011110101000001101001011101101010000010001101100101001001111100011000001101111111001,-20578.74,01100110001101001100110101100101110000011010011110101000001101001011101101010000010001101100101001001111100011000001101111111001,-20578.74,249.8729
129,0.5,222,111110011010101001100101011011001011110111010000111011110100000000011010111111101110111110000000000110110011001100011111000101000,-19346.49,111110011010101001100101011011001011110111010000111011110100000000011010111111101110111110000000000110110011001100011111000101000,-19346.49,484.9885
130,0.5,222,1000111100000101110100100000011011000000000111001110011110101000101011101110110001000111100010110011000100011101010000010000010101,-19002.63,0010111100000100000000100010010101000000001011001100010110101000101000101110011011000101110110101010000000010101110000110101010111,-19230.45,528.6177
131,0.5,222,01001100110010111100100000000010110010010101101001101110110010110001011101011111011111001010110001000011010101101100101001111001000,-18538.19,01010110110011011100110000000010010001110111101001101110011000010111011110011011011010000010101101000011111001101100111111011001010,-19179.93,317.5424
