0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0.0,-502.61,1
1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.0,-502.33,1
1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.0,-502.24,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.0,-500.2,2
0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0,-498.00000000000006,1
1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-497.67,1
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-497.34000000000003,1
0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0.0,-491.23,1
1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.0,-484.13000000000005,1
1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0.0,-466.64000000000004,1
1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0.0,-443.67999999999995,1
